,review_date,review_rating,review_text,verified_purchase,review_time,review_textlength,helpful_review
0,1/1/2019,5,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True,2019-01-01 22:58:00,202,4
1,1/2/2019,5,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,2019-01-02 08:23:00,175,2
2,1/2/2019,4,Excellent,True,2019-01-02 00:39:00,9,4
3,1/2/2019,5,A great flavour top - up for slow cooking.,True,2019-01-02 13:53:00,42,4
4,1/2/2019,5,Does what is says it does,False,2019-01-02 02:11:00,25,2
5,1/2/2019,4,Excellent,True,2019-01-02 23:08:00,9,0
6,1/2/2019,5,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,2019-01-02 09:51:00,175,2
7,1/2/2019,5,A great flavour top - up for slow cooking.,True,2019-01-02 01:59:00,42,2
8,1/5/2019,4,Excellent item.Good for men,False,2019-01-05 03:36:00,27,1
9,1/6/2019,5,Thank you Im very happy,True,2019-01-06 21:46:00,24,0
10,1/6/2019,5,Thank you Im very happy,True,2019-01-06 03:28:00,24,1
11,1/7/2019,5,Beautiful,True,2019-01-07 01:41:00,9,0
12,1/9/2019,5,Always buy. Big bottles,True,2019-01-09 07:52:00,23,1
13,1/2/2019,5,Does what is says it does,False,2019-01-02 00:57:00,25,4
14,1/2/2019,5,Always use this product on my heavily mistreated hair and it works wonders time after time,True,2019-01-02 06:59:00,90,3
15,1/12/2019,5,Great value,True,2019-01-12 01:43:00,11,2
16,1/2/2019,5,Always use this product on my heavily mistreated hair and it works wonders time after time,True,2019-01-02 18:50:00,90,3
17,1/13/2019,5,"Its not the one in the picture, but gets 5 stars because its the regular one I use and its awesome for people with dry skin.",True,2019-01-13 20:01:00,127,3
18,1/11/2019,5,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",True,2019-01-11 09:09:00,99,4
19,1/14/2019,5,Good body wash but not a very strong smell,True,2019-01-14 01:26:00,42,1
20,1/16/2019,5,Great,True,2019-01-16 18:08:00,5,4
21,1/16/2019,5,Great,True,2019-01-16 06:10:00,5,1
22,1/19/2019,5,Worth it!,True,2019-01-19 12:53:00,9,4
23,1/20/2019,5,I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,False,2019-01-20 07:17:00,123,0
24,1/3/2019,5,Great,True,2019-01-03 14:31:00,5,2
25,1/22/2019,3,Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,True,2019-01-22 02:16:00,101,1
26,1/22/2019,5,Love this product,True,2019-01-22 06:35:00,17,0
27,1/22/2019,5,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False,2019-01-22 02:51:00,80,0
28,1/25/2019,5,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",False,2019-01-25 05:55:00,317,1
29,1/26/2019,5,"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",False,2019-01-26 05:38:00,605,0
